name,width,height,info
lab01_2020-10-01_kfgag.webp,300,400,
lab02_dendro_2019-11-25_asi_ostrav_univ.webp,533,400,
tercvic_dendro_2019-06-04.webp,300,400,
tercvic_dendro_2019-11-06.webp,533,400,
tercvic_pedo01.webp,533,400,
tercvic_pedo02.webp,533,400,
tercvic_pedo03.webp,300,400,
tercvic_tatry_2017-05-29.webp,300,400,
tercvic_tatry_2017-06-01.webp,533,400,
tercvic_tatry_2017-06-03.webp,300,400,
tercvic_tatry_2017-06-04.webp,533,400,
vysk_geom01_riecneterasy_liptov.webp,533,400,
vysk_pedo01.webp,533,400,
vysk_pedo_2019-10-01.webp,533,400,
vysk_vinoh01.webp,225,400,
vysk_vinoh02.webp,225,400,
vysk_vinoh03.webp,300,400,
vysk_vinoh04.webp,533,400,
vysk_vinoh05_2017-07-18.webp,300,400,
vysk_vinoh06_2019-06-28.webp,300,400,
